StudentID,IdNumber,CourseKey,CourseCode,Course.WorkExperienceIndicator,Course.STEMFlag,Course.PlannedLearningHours,Course.NumberOfWeeks,Course.LengthOfCourse,Course.HoursPerWeek,Course.FT_PT,Course.FE_HE,Course.CourseTypeTitle,Course.Campus,EnrolmentToStartCourseDays,AnnualStartDate,HasApprovedFundClaim,StudentCategoryTitle,SourceOfFinanceTitle,vStudent_Indicators_InYear.CareExperienced,vStudent_Indicators_InYear.DisabilityName,vStudent_Indicators_InYear.HasPLSP,vStudent_Indicators_InYear.IsCarer,vStudent_Indicators.Ethnicity,vStudent_Indicators_InYear.SIMD_Rank,vStudent_Indicators.Gender,vStudent_Indicators.MaritalStatus,vStudent_Indicators.Nationality,vStudent_Indicators.Religion,vStudent_Indicators.SexualOrientation,Average of AttendanceRate,Withdrawn
66,0500421,NCPHO6-HF121A-2021,NCPHO6,N,N,720,36,1,0,FT,FE,Other vocational programme – other,Dunfermline,17,2021-08-30 00:00:00,Y,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,2452,Male,Married,Scotland,None,Heterosexual/straight,1,0
107,0500573,ONPFP-HP121A-2021,ONPFP,N,N,28,1,1,0,PT,FE,Other vocational programme – other,Other,83,2021-08-09 00:00:00,N,Permanent or temporary employment,UK industry and commerce,No,No known disability,No,No,Scottish,4597,Female,Prefer not to say,Scotland,None,Heterosexual/straight,1,0
157,0500782,VQHAI2-BF222A-2022,VQHAI2,N,N,720,40,2,18,FT,FE,Other vocational programme – other,Kirkcaldy,40,2022-08-29 00:00:00,Y,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,1312,Female,Prefer not to say,Scotland,Prefer not to say,Heterosexual/straight,0,0
157,0500782,VQHAI6-BF123A-2023,VQHAI6,N,N,720,30,1,0,FT,FE,Other vocational programme – other,Kirkcaldy,18,2023-08-28 00:00:00,N,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,1312,Female,Prefer not to say,Scotland,Prefer not to say,Heterosexual/straight,1,1
158,0500785,HCHCP-SF121B-2021,HCHCP,N,N,600,40,1,15,FT,HE,Other vocational programme – other,Glenrothes,53,2021-08-30 00:00:00,N,Full-time college based not included above,Student Awards Agency for Scotland (SAAS),No,No known disability,No,No,Scottish,858,Female,Other,Scotland,Prefer not to say,Heterosexual/straight,1,0
179,0500887,HCCOU-BF121A-2021,HCCOU,N,N,600,36,1,0,FT,HE,Other vocational programme – other,Kirkcaldy,35,2021-08-30 00:00:00,Y,Full-time college based not included above,Self-financing student,No,No known disability,No,No,Scottish,187,Male,Other,Scotland,None,Heterosexual/straight,1,0
179,0500887,HDCOU-BF222A-2022,HDCOU,N,N,640,40,3,16,FT,HE,Other vocational programme – other,Kirkcaldy,17,2022-08-29 00:00:00,Y,Full-time college based not included above,Student Awards Agency for Scotland (SAAS),No,No known disability,Yes,No,Scottish,187,Male,Other,Scotland,None,Heterosexual/straight,1,0
187,0500913,NQENG6-HE121A-2021,NQENG6,N,N,160,34,1,0,PT,FE,Other vocational programme – other,Dunfermline,55,2021-08-30 00:00:00,N,Permanent or temporary employment,Self-financing student,No,No known disability,No,No,Scottish,3102,Female,Prefer not to say,Scotland,None,Prefer not to say,0,0
208,0501014,HCELG7-SD221A-2021,HCELG7,N,Y,240,34,2,0,PT,HE,Other vocational programme – other,Glenrothes,38,2021-08-30 00:00:00,N,Permanent or temporary employment,Self-financing student,No,No known disability,No,No,Scottish,3805,Male,Other,Scotland,None,Heterosexual/straight,0.6364,0
208,0501014,HEEFAW-FI122A-2022,HEEFAW,N,Y,160,40,1,4,PT,HE,Other vocational programme – other,Other,33,2022-08-29 00:00:00,N,Permanent or temporary employment,Self-financing student,No,No known disability,No,No,Scottish,3805,Male,Other,Scotland,None,Heterosexual/straight,1,0
230,0501131,HCSSH-ZF123A-2023,HCSSH,N,N,480,40,1,15,FT,HE,Other vocational programme – other,Other,46,2023-08-28 00:00:00,N,Full-time college based not included above,Student Awards Agency for Scotland (SAAS),No,No known disability,No,No,Scottish,1957,Male,Prefer not to say,Scotland,None,Heterosexual/straight,1,0
260,0501408,ONGEI4-SF121A-2021,ONGEI4,N,Y,720,36,1,18,FT,FE,Other vocational programme – other,Glenrothes,56,2021-08-30 00:00:00,Y,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,584,Male,Other,Scotland,None,Heterosexual/straight,1,0
300,0501661,NQMAT4-HE123A-2023,NQMAT4,N,Y,200,40,1,5,PT,FE,Other vocational programme – other,Dunfermline,6,2023-08-22 00:00:00,N,Permanent or temporary employment,Self-financing student,No,No known disability,No,No,Scottish,3276,Female,Prefer not to say,Scotland,Prefer not to say,Heterosexual/straight,1,1
349,0501986,ICPBT5-LF123A-2023,ICPBT5,N,N,640,18,1,40,FT,FE,Other vocational programme – other,Levenmouth,46,2023-08-28 00:00:00,Y,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,1772,Female,Prefer not to say,Scotland,None,Bi/bisexual,1,0
364,0502057,ACSSH6-BF123A-2023,ACSSH6,N,N,720,40,1,18,FT,FE,Other vocational programme – other,Kirkcaldy,14,2023-08-28 00:00:00,Y,Full-time college based not included above,Fee waiver – full-time non-advanced,No,Multiple,Yes,No,Scottish,2426,Female,Prefer not to say,Scotland,Christian: Protestant,Heterosexual/straight,1,0
364,0502057,NQACC6-BF122A-2022,NQACC6,N,N,760,36,1,19,FT,FE,Other vocational programme – other,Kirkcaldy,11,2022-08-29 00:00:00,N,Full-time college based not included above,Fee waiver – full-time non-advanced,No,Social or communication impairment,No,No,Scottish,2426,Female,Prefer not to say,Scotland,Christian: Protestant,Heterosexual/straight,0,1
