StudentID,IdNumber,CourseCode,Course.WorkExperienceIndicator,Course.STEMFlag,Course.PlannedLearningHours,Course.NumberOfWeeks,Course.LengthOfCourse,Course.HoursPerWeek,Course.FT_PT,Course.FE_HE,Course.CourseTypeTitle,Course.Campus,EnrolmentToStartCourseDays,AnnualStartDate,HasApprovedFundClaim,StudentCategoryTitle,SourceOfFinanceTitle,vStudent_Indicators_InYear.CareExperienced,vStudent_Indicators_InYear.DisabilityName,vStudent_Indicators_InYear.HasPLSP,vStudent_Indicators_InYear.IsCarer,vStudent_Indicators.Ethnicity,vStudent_Indicators_InYear.SIMD_Rank,vStudent_Indicators.Gender,vStudent_Indicators.MaritalStatus,vStudent_Indicators.Nationality,vStudent_Indicators.Religion,vStudent_Indicators.SexualOrientation,Withdrawn
1022,0506634,VQLED4,N,N,80,40,2,0,PT,HE,Other vocational programme – other,Dunfermline,-22,28/08/2023 00:00,N,Permanent or temporary employment,Self-financing student,No,Multiple(+MH),No,Yes,Scottish,1703,Female,Other,Scotland,Christian: Roman Catholic,Heterosexual/straight,0
1024,0506657,ACICS6,N,N,120,33,1,0,PT,FE,Other vocational programme – other,Kirkcaldy,60,11/09/2023 00:00,N,Permanent or temporary employment,Self-financing student,No,No known disability,No,No,Scottish,847,Female,Prefer not to say,Scotland,None,Heterosexual/straight,1
1166,0507919,HDQUS,N,N,600,36,2,15,FT,HE,Other vocational programme – other,Glenrothes,42,28/08/2023 00:00,N,Full-time college based not included above,Student Awards Agency for Scotland (SAAS),Yes,No known disability,No,No,Scottish,2643,Male,Prefer not to say,Scotland,None,Heterosexual/straight,0
1167,0507920,ONCIP,N,Y,50,4,1,0,PT,HE,Other vocational programme – other,Glenrothes,83,03/10/2023 00:00,N,Permanent or temporary employment,UK industry and commerce,No,No known disability,No,No,Scottish,0,Male,Prefer not to say,Scotland,None,Heterosexual/straight,0
1210,0508049,ONMMH,N,N,6,0,1,0,PT,FE,Other vocational programme – other,Other,-62,17/08/2023 00:00,N,Permanent or temporary employment,UK industry and commerce,No,No known disability,No,No,Scottish,5085,Male,Other,Scotland,None,Heterosexual/straight,0
1334,0508670,ONWLD5,N,N,20,20,1,1,PT,FE,Other vocational programme – other,Other,0,01/08/2023 18:23,N,Not registered unemployed but not working,Fee waiver – low income,No,No known disability,No,No,Scottish,5085,Female,Prefer not to say,Scotland,None,Heterosexual/straight,0
1351,0508708,ACSSH6,N,N,720,40,1,18,FT,FE,Other vocational programme – other,Kirkcaldy,28,28/08/2023 00:00,Y,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,372,Female,Other,Scotland,Prefer not to say,Heterosexual/straight,0
1355,0508776,ACCGD6,N,Y,720,40,1,18,FT,FE,Other vocational programme – other,Glenrothes,33,28/08/2023 00:00,Y,Full-time college based not included above,Fee waiver – full-time non-advanced,No,Specific learning difficulty,Yes,No,Scottish,1309,Male,Prefer not to say,Scotland,None,Heterosexual/straight,0
1388,0508927,BABMA,N,N,600,30,1,0,FT,HE,Other vocational programme – other,Dunfermline,32,11/09/2023 00:00,N,Full-time college based not included above,Student Awards Agency for Scotland (SAAS),No,No known disability,No,No,Scottish,148,Female,Prefer not to say,Scotland,Prefer not to say,Prefer not to say,0
1451,0509837,NCPCK5,N,N,640,40,1,18,FT,FE,Other vocational programme – other,Dunfermline,0,29/08/2023 00:00,Y,Full-time college based not included above,Fee waiver – full-time non-advanced,No,Mental Health Condition,Yes,No,Scottish,2859,Prefer not to say,Prefer not to say,Scotland,Prefer not to say,Prefer not to say,0
1458,0509852,NCPSS5,N,N,640,40,1,18,FT,FE,Other vocational programme – other,Kirkcaldy,46,28/08/2023 00:00,Y,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,1772,Female,Prefer not to say,Scotland,None,Heterosexual/straight,0
1470,0509941,ONABS5,N,N,40,40,1,1,PT,FE,Other vocational programme – other,Kirkcaldy,-21,25/03/2024 00:00,N,Full-time college based not included above,UK industry and commerce,No,No known disability,No,No,Scottish,1833,Female,Other,Scotland,None,Heterosexual/straight,0
1536,0510145,PDTPC,N,N,0,40,2,1,PT,HE,Other vocational programme – other,Other,-50,01/08/2023 00:00,N,Permanent or temporary employment,Self-financing student,No,No known disability,No,No,Scottish,4787,Female,Other,Scotland,None,Heterosexual/straight,0
1573,0510284,VQSHE2,N,N,640,18,1,36,FT,FE,Other vocational programme – other,Kirkcaldy,0,05/02/2024 00:00,Y,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,1798,Female,Prefer not to say,Scotland,Prefer not to say,Heterosexual/straight,0
1601,0510351,HCSSH,N,N,480,40,1,15,FT,HE,Other vocational programme – other,Other,31,28/08/2023 00:00,N,Full-time college based not included above,Student Awards Agency for Scotland (SAAS),No,No known disability,No,No,Scottish,963,Male,Prefer not to say,Scotland,Christian: Protestant,Heterosexual/straight,1
