StudentID,IdNumber,CourseKey,CourseCode,Course.WorkExperienceIndicator,Course.STEMFlag,Course.PlannedLearningHours,Course.NumberOfWeeks,Course.LengthOfCourse,Course.HoursPerWeek,Course.FT_PT,Course.FE_HE,Course.CourseTypeTitle,Course.Campus,EnrolmentToStartCourseDays,AnnualStartDate,HasApprovedFundClaim,StudentCategoryTitle,SourceOfFinanceTitle,vStudent_Indicators_InYear.CareExperienced,vStudent_Indicators_InYear.DisabilityName,vStudent_Indicators_InYear.HasPLSP,vStudent_Indicators_InYear.IsCarer,vStudent_Indicators.Ethnicity,vStudent_Indicators_InYear.SIMD_Rank,vStudent_Indicators.Gender,vStudent_Indicators.MaritalStatus,vStudent_Indicators.Nationality,vStudent_Indicators.Religion,vStudent_Indicators.SexualOrientation,Average of AttendanceRate,Withdrawn
1078,0507286,HDACP-BF121A-2021,HDACP,N,N,600,36,2,0,FT,HE,Other vocational programme – other,Kirkcaldy,45,30/08/2021 00:00,N,Full-time college based not included above,Student Awards Agency for Scotland (SAAS),No,No known disability,Yes,No,British,372,Female,Prefer not to say,England,None,Heterosexual/straight,0.8155590909090908,1
1104,0507439,ONERA-SP121J-2021,ONERA,N,N,6,0,1,0,PT,FE,Other vocational programme – other,Glenrothes,24,29/07/2022 00:00,N,Permanent or temporary employment,UK industry and commerce,No,No known disability,No,No,Scottish,2781,Male,Prefer not to say,Scotland,Prefer not to say,Prefer not to say,1,0
1127,0507619,NCPHO6-HF121A-2021,NCPHO6,N,N,720,36,1,0,FT,FE,Other vocational programme – other,Dunfermline,13,30/08/2021 00:00,N,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,480,Female,Married,Scotland,Prefer not to say,Heterosexual/straight,0.26193333333333335,1
1185,0507949,MACAJ2-SB421C-2021,MACAJ2,N,Y,160,4,5,40,PT,FE,Other vocational programme – other,Glenrothes,101,22/11/2021 00:00,N,Student on YT/Skillseekers/New Deal/Modern Apprenticeship,"Government Training Credit e.g. Skillseeker, Modern Apprenticeship",No,No known disability,No,No,Scottish,6419,Male,Prefer not to say,Scotland,Prefer not to say,Heterosexual/straight,0.875,0
1196,0507966,ONEWR18-SD121C-2021,ONEWR18,N,N,22,1,1,0,PT,FE,Other vocational programme – other,Glenrothes,56,02/11/2021 00:00,N,Permanent or temporary employment,UK industry and commerce,No,No known disability,No,No,British,2213,Male,Prefer not to say,Scotland,None,Heterosexual/straight,1,0
1239,0508344,ONPAT-SD121E-2021,ONPAT,N,N,14,1,1,0,PT,FE,Other vocational programme – other,Glenrothes,62,05/10/2021 00:00,N,Permanent or temporary employment,UK industry and commerce,No,No known disability,No,No,British,1791,Male,Prefer not to say,Wales / Cymru,None,Heterosexual/straight,1,0
1252,0508367,HCART-SD121A-2021,HCART,N,Y,240,34,2,0,PT,HE,Other vocational programme – other,Glenrothes,50,02/09/2021 00:00,N,Permanent or temporary employment,UK industry and commerce,No,No known disability,No,No,Scottish,5806,Male,Other,Scotland,None,Heterosexual/straight,0.9833342857142857,0
1259,0508376,ONILM-HE121G-2021,ONILM,N,N,140,13,1,0,PT,HE,Other vocational programme – other,Dunfermline,72,17/11/2021 00:00,N,Permanent or temporary employment,UK industry and commerce,No,No known disability,No,No,Scottish,3177,Male,Other,Scotland,None,Heterosexual/straight,1,0
1263,0508385,ONSLE-HP121E-2021,ONSLE,N,Y,3,0,1,0,PT,FE,Other vocational programme – other,Other,9,24/03/2022 00:00,N,Permanent or temporary employment,UK industry and commerce,No,No known disability,No,No,Scottish,6039,Female,Prefer not to say,Scotland,None,Prefer not to say,1,0
1283,0508467,HCAIT-BP121A-2021,HCAIT,N,N,240,34,2,0,PT,HE,Other vocational programme – other,Kirkcaldy,55,31/08/2021 00:00,N,Permanent or temporary employment,Student Awards Agency for Scotland (SAAS),No,No known disability,No,No,Scottish,1880,Female,Prefer not to say,Scotland,Prefer not to say,Prefer not to say,0.9444444444444444,0
1347,0508695,ONSPRG4-BD121A-2021,ONSPRG4,N,N,170,28,1,5,PT,FE,Other vocational programme – for students with learning difficulties,Kirkcaldy,-148,30/08/2021 00:00,N,Not registered unemployed but not working,Fee waiver – student on a DPG 18 / PG 5 programme,No,Specific learning difficulty,No,No,British,3981,Female,Prefer not to say,Scotland,Prefer not to say,Prefer not to say,0.9473684210526315,0
1351,0508708,NQSHQ4-BF121A-2021,NQSHQ4,N,N,720,36,1,0,FT,FE,Other vocational programme – other,Kirkcaldy,0,30/08/2021 00:00,Y,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,Yes,No,Scottish,372,Female,Other,Scotland,Prefer not to say,Heterosexual/straight,0.9455971428571429,0
1388,0508927,HDBUS-BF121A-2021,HDBUS,N,N,600,36,2,0,FT,HE,Other vocational programme – other,Kirkcaldy,54,30/08/2021 00:00,N,Full-time college based not included above,Student Awards Agency for Scotland (SAAS),No,No known disability,No,No,Scottish,148,Female,Prefer not to say,Scotland,Prefer not to say,Prefer not to say,0.8899621621621623,0
1415,0509465,ONAAD-HE121B-2021,ONAAD,N,N,120,37,1,0,PT,HE,Other vocational programme – other,Other,27,25/08/2021 00:00,N,Not registered unemployed but not working,Self-financing student,No,No known disability,No,No,Scottish,5665,Female,Other,Scotland,None,Heterosexual/straight,1,1
1428,0509599,NCCHS5-LF121A-2021,NCCHS5,N,N,720,36,1,0,FT,FE,Other vocational programme – other,Levenmouth,35,30/08/2021 00:00,Y,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,328,Female,Prefer not to say,Scotland,None,Heterosexual/straight,0.9085675675675675,0
1429,0509600,NCCHS5-LF121A-2021,NCCHS5,N,N,720,36,1,0,FT,FE,Other vocational programme – other,Levenmouth,31,30/08/2021 00:00,N,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,107,Female,Prefer not to say,Scotland,None,Bi/bisexual,0.45333333333333337,1
1440,0509695,HCTRT-BF121A-2021,HCTRT,N,N,600,40,1,15,FT,HE,Other vocational programme – other,Kirkcaldy,38,30/08/2021 00:00,Y,Full-time college based not included above,Student Awards Agency for Scotland (SAAS),No,No known disability,No,No,Scottish,3459,Female,Prefer not to say,Scotland,None,Heterosexual/straight,0.8806861111111111,0
1458,0509852,VQNAS320-BF121A-2021,VQNAS320,N,N,480,12,1,40,PT,FE,Other vocational programme – other,Kirkcaldy,22,23/08/2021 00:00,Y,Full-time college based not included above,Fee Waiver - COVID,No,Mental Health Condition,No,No,Scottish,1772,Female,Prefer not to say,Scotland,None,Heterosexual/straight,0.9881,0
