EnrolmentID,IdNumber,Age,Age_CourseStart,AllCourseID,AnnualStartDate,AnnualEndDate,EnrolledOnDate,ClassSize,DisabilityCode,EthnicityCode,FE,FT,GenderCode,HasChildcareFund,HasHardshipFund,HE,HoursPerWeek,LengthOfCourse,MaritalStatusCode,MoACode,NumberOfWeeks,PlannedLearningHours,PT,ScqfLevelCode,ReligionCode,SexualOrientationCode,SIMD_Rank,PI_1,AttendanceRate,AuthAbsenseRate,AbsenseRate
1421549,1312549,62,60,BP1A,2022-08-01 00:00:00,2023-07-31 00:00:00,2022-09-20 00:00:00,8,01,10,Y,N,M,0,0,N,2,1,4,08,41,60,Y,05,11,6,3827,Completed: Successful,,,
1421552,2046783,54,52,BP1A,2022-08-01 00:00:00,2023-07-31 00:00:00,2022-09-20 00:00:00,8,01,10,Y,N,F,0,0,N,2,1,4,08,41,60,Y,05,11,6,3120,Completed: Successful,,,
1421560,1628329,23,22,FI1A,2022-08-29 00:00:00,2023-06-10 00:00:00,2022-09-20 00:00:00,0,01,10,N,N,M,0,0,Y,0,1,3,08,52,40,Y,07,01,1,6295,Completed: Partial Success,1,0,0
1421562,1864181,22,21,FI1A,2022-08-29 00:00:00,2023-06-10 00:00:00,2022-09-15 00:00:00,0,99,10,N,N,I,0,0,Y,0,1,4,08,52,40,Y,07,01,6,5346,Completed: Successful,0.93334,0,0.06666
1421565,2260417,19,17,SF1A,2022-08-29 00:00:00,2023-06-23 00:00:00,2022-08-29 00:00:00,25,01,10,N,Y,M,0,0,Y,0,1,3,17,36,600,N,07,01,1,3109,Completed: Successful,1,0,0
1421581,0504591,29,28,HD1C,2022-11-01 00:00:00,2023-02-08 00:00:00,2022-09-20 00:00:00,0,01,10,Y,N,M,0,0,N,0,1,3,07,14,72,Y,06,01,1,2781,Completed: Successful,,,
1421583,1985207,20,19,HW1A,2022-08-01 00:00:00,2023-07-28 00:00:00,2022-09-20 00:00:00,12,01,10,Y,N,F,0,0,N,5,3,4,11,41,200,Y,05,11,6,2781,Completed: Successful,,,
1421585,2264799,20,18,HF1A,2022-08-29 00:00:00,2023-06-23 00:00:00,2022-08-29 00:00:00,18,01,10,Y,Y,F,0,0,N,18,1,3,17,40,720,N,05,01,1,800,Completed: Successful,1,0,0
1421603,1517907,18,17,HW1A,2022-08-03 00:00:00,2023-07-26 00:00:00,2022-09-20 00:00:00,9,01,10,Y,N,M,0,0,N,0,3,4,11,41,120,Y,06,11,1,1682,Completed: Successful,,,
1421612,1875966,37,36,SI1A,2022-08-29 00:00:00,2023-06-16 00:00:00,2022-09-20 00:00:00,8,01,11,N,N,M,0,0,Y,1,1,1,08,40,240,Y,08,04,1,5105,Completed: Successful,,,
1421613,1508507,28,26,SI1A,2021-08-01 00:00:00,2022-07-31 00:00:00,2022-09-20 00:00:00,8,01,10,N,N,M,0,0,Y,1,1,4,08,36,240,Y,08,01,1,6055,Completed: Successful,,,
1421641,1857247,23,22,SF1B,2022-08-29 00:00:00,2023-06-23 00:00:00,2022-08-29 00:00:00,18,01,10,Y,Y,M,0,0,N,18,1,4,17,40,720,N,05,01,1,2099,Completed: Successful,0.333333,0,0.666666
1421683,2147041,19,18,HF1A,2022-08-29 00:00:00,2023-06-23 00:00:00,2022-09-20 00:00:00,16,01,31,Y,Y,F,0,0,N,18,1,3,17,40,720,N,05,03,4,5425,Further Withdrawal,0.75,0.125,0.25
1421687,2269164,39,37,EE1B,2022-10-04 00:00:00,2023-06-16 00:00:00,2022-09-20 00:00:00,18,01,23,N,N,M,0,0,Y,7,2,3,09,30,280,Y,07,04,1,1012,Early Withdrawal,,,
1421690,2165897,35,34,EE1B,2022-10-04 00:00:00,2023-06-16 00:00:00,2022-09-20 00:00:00,18,01,10,N,N,I,0,0,Y,7,2,4,09,30,280,Y,07,01,6,867,Completed: Successful,,,
1421692,2268299,43,41,BF1B,2022-08-29 00:00:00,2023-06-23 00:00:00,2022-09-20 00:00:00,32,01,14,Y,Y,F,0,0,N,18,1,3,17,40,720,N,03,04,1,1419,Completed: Successful,1,0,0
1421693,2165957,39,37,EE1A,2022-10-04 00:00:00,2023-06-16 00:00:00,2022-09-20 00:00:00,22,01,14,N,N,F,0,0,Y,7,2,1,09,30,280,Y,07,01,1,2319,Completed: Partial Success,,,
1421696,2165832,51,49,EE1A,2022-10-04 00:00:00,2023-06-16 00:00:00,2022-09-20 00:00:00,22,01,10,N,N,F,0,0,Y,7,2,4,09,30,280,Y,07,03,1,4867,Completed: Partial Success,,,
1421697,2166017,37,35,EE1A,2022-10-04 00:00:00,2023-06-16 00:00:00,2022-09-20 00:00:00,22,01,33,N,N,F,0,0,Y,7,2,3,09,30,280,Y,07,03,1,4667,Completed: Partial Success,,,
1421699,2271778,33,32,HE1A,2022-08-22 00:00:00,2023-06-23 00:00:00,2022-09-20 00:00:00,12,01,10,Y,N,I,0,0,N,6,1,3,09,40,240,Y,06,01,2,6307,Completed: Successful,1,0,0
1421700,2268282,18,17,BF1B,2022-08-29 00:00:00,2023-06-23 00:00:00,2022-09-20 00:00:00,22,01,33,Y,Y,F,0,0,N,16,1,3,17,40,640,N,04,11,1,1106,Completed: Successful,1,0,0
1421703,2020600,25,24,BF1A,2022-08-29 00:00:00,2023-06-23 00:00:00,2022-09-21 00:00:00,18,01,10,Y,Y,F,0,0,N,18,1,3,17,40,720,N,05,01,1,1767,Completed: Partial Success,0.9231,0.0769,0.0769
